Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular,.NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-tv-portfolio
"iOS, Swift, ARKit",https://example.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
"Kubernetes, Docker, Jenkins",https://example.com/kubernetes-portfolio
"TensorFlow, PyTorch, OpenCV",https://example.com/ml-portfolio
"AWS Lambda, DynamoDB, S3",https://example.com/aws-portfolio
"Terraform, Ansible, Azure",https://example.com/terraform-portfolio
"Swift, Xcode, Core Data",https://example.com/ios-portfolio
"Kotlin, Android Studio, SQLite",https://example.com/android-portfolio
"Hadoop, Spark, Hive",https://example.com/bigdata-portfolio
"Tableau, Power BI, SQL",https://example.com/bi-portfolio
"Selenium, JUnit, TestNG",https://example.com/testing-portfolio
"Elasticsearch, Logstash, Kibana",https://example.com/elk-portfolio
"Flask, FastAPI, PostgreSQL",https://example.com/flask-portfolio
"C++, OpenGL, Unreal Engine",https://example.com/game-portfolio
"Ruby on Rails, SQLite, Redis",https://example.com/ruby-portfolio
"Shopify, WooCommerce, Magento",https://example.com/ecommerce-portfolio
"Apache Kafka, RabbitMQ, MQTT",https://example.com/messaging-portfolio
"NumPy, Pandas, Matplotlib",https://example.com/data-portfolio
"React Native, Firebase, Redux",https://example.com/reactnative-portfolio
"Salesforce, Apex, Lightning",https://example.com/salesforce-portfolio
"MATLAB, Simulink, ROS",https://example.com/robotics-portfolio
"Next.js, Tailwind CSS, Prisma",https://example.com/nextjs-portfolio
